Success_Nodes,Fail_Nodes,Skipped_Nodes,Data_Collected_KB,Total_Time,Total_Energy,Total_Flight_Distance,Total_Comm_Latency,Attempts,Retry_Sum,Total_Waypoints,Success_Rate,Avg_Comm_Latency,Eff_Data_Per_Time,Eff_Data_Per_Energy,Avg_Retry_Per_Node,Strategy,Node_File,Num_Nodes
58,42,0,2497.29783628345,2495.3839033185714,2994.7721300990947,7.786152920132134,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.000766989384813,0.8338857608511324,0.7550200803212851,baseline,data37,100
77,23,11,2192.5034410075496,1844.774314528022,2214.04062355043,7.786152920132134,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884941283825783,0.990272453759975,0.45652173913043476,lya,data37,100
58,42,0,2497.29783628345,2495.36123162391,2994.7267867097667,7.332719026870395,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007760818894664,0.8338983867797738,0.7550200803212851,baseline,data38,100
77,23,11,2192.5034410075496,1844.7516428333583,2213.995280161105,7.332719026870395,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1885087347801888,0.9902927348824379,0.45652173913043476,lya,data38,100
58,42,0,2497.29783628345,2495.37529018,2994.7549038219504,7.613890148699849,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007704436727478,0.833890557486478,0.7550200803212851,baseline,data39,100
77,23,11,2192.5034410075496,1844.7657013894495,2214.023397273288,7.613890148699849,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884996774149634,0.9902801586052605,0.45652173913043476,lya,data39,100
58,42,0,2497.29783628345,2495.3919399483857,2994.788203358718,7.946885516391634,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007637663264648,0.8338812853218395,0.7550200803212851,baseline,data40,100
77,23,11,2192.5034410075496,1844.782351157834,2214.056696810057,7.946885516391634,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.188488950813887,0.9902652647361918,0.45652173913043476,lya,data40,100
58,42,0,2497.29783628345,2495.3874116948773,2994.7791468517016,7.856320446214592,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007655823619288,0.8338838070609531,0.7550200803212851,baseline,data41,100
77,23,11,2192.5034410075496,1844.7778229043254,2214.0476403030398,7.856320446214592,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884918681187215,0.9902693153917224,0.45652173913043476,lya,data41,100
58,42,0,2497.29783628345,2495.367460054169,2994.7392435702823,7.4572876320221715,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.000773583955142,0.833894918111872,0.7550200803212851,baseline,data42,100
77,23,11,2192.5034410075496,1844.7578712636152,2214.00773702162,7.4572876320221715,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1885047220347333,0.9902871631139831,0.45652173913043476,lya,data42,100
58,42,0,2497.29783628345,2495.387806240873,2994.7799359436945,7.864211366156816,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007654241307904,0.833883587341625,0.7550200803212851,baseline,data43,100
77,23,11,2192.5034410075496,1844.7782174503213,2214.0484293950335,7.864211366156816,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884916139338535,0.9902689624574423,0.45652173913043476,lya,data43,100
58,42,0,2497.29783628345,2495.3947102278453,2994.7937439176403,8.002291105599905,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.000762655321743,0.8338797425884192,0.7550200803212851,baseline,data44,100
77,23,11,2192.5034410075496,1844.785121437295,2214.062237368978,8.002291105599905,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.188487166082163,0.9902627866563285,0.45652173913043476,lya,data44,100
58,42,0,2497.29783628345,2495.3861591026202,2994.7766416671866,7.831268601064423,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007660847095174,0.8338845046197533,0.7550200803212851,baseline,data45,100
77,23,11,2192.5034410075496,1844.7765703120676,2214.0451351185243,7.831268601064423,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884926750975917,0.9902704358780736,0.45652173913043476,lya,data45,100
58,42,0,2497.29783628345,2495.3815941749513,2994.76751181185,7.739970047698508,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007679154614957,0.833887046802031,0.7550200803212851,baseline,data46,100
77,23,11,2192.5034410075496,1844.7720053843996,2214.0360052631877,7.739970047698508,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884956160480613,0.9902745193824982,0.45652173913043476,lya,data46,100
58,42,0,2497.29783628345,2495.385980464954,2994.776284391857,7.827695847763501,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007661563515475,0.8338846041017621,0.7550200803212851,baseline,data47,100
77,23,11,2192.5034410075496,1844.7763916744027,2214.0447778431935,7.827695847763501,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.18849279018447,0.990270595675744,0.45652173913043476,lya,data47,100
58,42,0,2497.29783628345,2495.388350795922,2994.7810250537923,7.875102467112941,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007652057391865,0.8338832840837148,0.7550200803212851,baseline,data48,100
77,23,11,2192.5034410075496,1844.7787620053705,2214.0495185051286,7.875102467112941,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884912631063598,0.9902684753355804,0.45652173913043476,lya,data48,100
58,42,0,2497.29783628345,2495.3803051360123,2994.7649337339735,7.714189268936514,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007684324283121,0.8338877646632971,0.7550200803212851,baseline,data49,100
77,23,11,2192.5034410075496,1844.7707163454613,2214.033427185312,7.714189268936514,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884964465128522,0.990275672483801,0.45652173913043476,lya,data49,100
58,42,0,2497.29783628345,2495.382229802109,2994.7687830661657,7.752682590860211,2494.9945956725664,249,188,100,0.58,10.0200586171589,1.0007676605445301,0.8338866928239499,0.7550200803212851,baseline,data50,100
77,23,11,2192.5034410075496,1844.7726410115574,2214.037276517504,7.752682590860211,1844.3850068820147,184,84,100,0.77,10.023831559141385,1.1884952065449748,0.9902739507873936,0.45652173913043476,lya,data50,100
60,90,0,4133.29133395129,2498.7404685150786,2998.867670895836,9.477716943555388,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541499151400754,1.3782840016800653,0.7550200803212851,baseline,data1501,150
107,43,4,4505.343143168924,2499.4845721335155,2999.7605952379613,9.477716943555388,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025088825906388,1.501900901798975,0.5060240963855421,lya,data1501,150
60,90,0,4133.29133395129,2498.718428794668,2998.8235914550096,9.036922535283727,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541645054201275,1.378304260953824,0.7550200803212851,baseline,data1502,150
107,43,4,4505.343143168924,2499.4625324131025,2999.716515797135,9.036922535283727,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025247767243973,1.5019229715350915,0.5060240963855421,lya,data1502,150
60,90,0,4133.29133395129,2498.730333044725,2998.847399955125,9.275007536427353,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541566247826502,1.3782933182972699,0.7550200803212851,baseline,data1503,150
107,43,4,4505.343143168924,2499.4744366631608,2999.7403242972487,9.275007536427353,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025161918373651,1.501911050992187,0.5060240963855421,lya,data1503,150
60,90,0,4133.29133395129,2498.72716568817,2998.841065242018,9.211660405357835,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541587215717277,1.3782962297862615,0.7550200803212851,baseline,data1504,150
107,43,4,4505.343143168924,2499.4712693066062,2999.733989584142,9.211660405357835,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.802518476005039,1.5019142226652928,0.5060240963855421,lya,data1504,150
60,90,0,4133.29133395129,2498.7423700219365,2998.871473909549,9.51574708067958,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541486563558785,1.378282253811574,0.7550200803212851,baseline,data1505,150
107,43,4,4505.343143168924,2499.4864736403715,2999.7643982516747,9.51574708067958,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025075113157651,1.501898997732866,0.5060240963855421,lya,data1505,150
60,90,0,4133.29133395129,2498.739266409539,2998.8652666847556,9.453674832752315,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.654150710926496,1.3782851066599073,0.7550200803212851,baseline,data1506,150
107,43,4,4505.343143168924,2499.4833700279755,2999.75819102688,9.453674832752315,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025097494921511,1.5019021055249293,0.5060240963855421,lya,data1506,150
60,90,0,4133.29133395129,2498.713465547412,2998.813664960498,8.93765759017229,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541677911219719,1.3783088233345555,0.7550200803212851,baseline,data1507,150
107,43,4,4505.343143168924,2499.457569165847,2999.7065893026233,8.93765759017229,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025283560514727,1.5019279416312292,0.5060240963855421,lya,data1507,150
60,90,0,4133.29133395129,2498.7465484054323,2998.879830676538,9.599314750566743,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541458903020545,1.3782784130495926,0.7550200803212851,baseline,data1508,150
107,43,4,4505.343143168924,2499.4906520238687,2999.772755018663,9.599314750566743,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025044980747944,1.5018948137426145,0.5060240963855421,lya,data1508,150
60,90,0,4133.29133395129,2498.7351250459587,2998.85698395759,9.370847561089729,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541534524893937,1.3782889134301388,0.7550200803212851,baseline,data1509,150
107,43,4,4505.343143168924,2499.4792286643933,2999.749908299715,9.370847561089729,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025127360535707,1.501906252485759,0.5060240963855421,lya,data1509,150
60,90,0,4133.29133395129,2498.715817617553,2998.818369100777,8.984698992978538,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541662340346703,1.3783066612302681,0.7550200803212851,baseline,data1510,150
107,43,4,4505.343143168924,2499.459921235989,2999.711293442902,8.984698992978538,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025266598157816,1.501925586311322,0.5060240963855421,lya,data1510,150
60,90,0,4133.29133395129,2498.7260479929996,2998.8388298516666,9.189306501870723,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541594614868598,1.3782972571939578,0.7550200803212851,baseline,data1511,150
107,43,4,4505.343143168924,2499.4701516114337,2999.7317541937914,9.189306501870723,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025192820423497,1.5019153418868885,0.5060240963855421,lya,data1511,150
60,90,0,4133.29133395129,2498.734152785691,2998.855039437054,9.351402355729899,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541540961223615,1.3782898071415923,0.7550200803212851,baseline,data1512,150
107,43,4,4505.343143168924,2499.4782564041257,2999.7479637791794,9.351402355729899,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025134372045053,1.5019072260634014,0.5060240963855421,lya,data1512,150
60,90,0,4133.29133395129,2498.7347933183787,2998.8563205024334,9.364213009528855,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541536720918595,1.3782892183573474,0.7550200803212851,baseline,data1513,150
107,43,4,4505.343143168924,2499.4788969368124,2999.749244844559,9.364213009528855,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025129752807114,1.501906584662673,0.5060240963855421,lya,data1513,150
60,90,0,4133.29133395129,2498.7298184327847,2998.8463707312458,9.264715297640695,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541569654552368,1.3782937913366393,0.7550200803212851,baseline,data1514,150
107,43,4,4505.343143168924,2499.4739220512206,2999.739295073371,9.264715297640695,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025165629540016,1.5019115663045401,0.5060240963855421,lya,data1514,150
60,90,0,4133.29133395129,2498.7242986961255,2998.8353312579256,9.154320564435913,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541606195241738,1.3782988651856027,0.7550200803212851,baseline,data1515,150
107,43,4,4505.343143168924,2499.468402314562,2999.7282556000496,9.154320564435913,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025205435671356,1.5019170935760977,0.5060240963855421,lya,data1515,150
60,90,0,4133.29133395129,2498.747267048002,2998.8812679616713,9.613687601934975,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.654145414567806,1.3782777524769005,0.7550200803212851,baseline,data1516,150
107,43,4,4505.343143168924,2499.4913706664365,2999.7741923037966,9.613687601934975,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025039798267717,1.5018940941380876,0.5060240963855421,lya,data1516,150
60,90,0,4133.29133395129,2498.723988853357,2998.8347115723864,9.14812370904278,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541608246407487,1.3782991500001915,0.7550200803212851,baseline,data1517,150
107,43,4,4505.343143168924,2499.4680924717923,2999.72763591451,9.14812370904278,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025207670138599,1.5019174038430345,0.5060240963855421,lya,data1517,150
60,90,0,4133.29133395129,2498.729699889774,2998.8461336452256,9.262344437439715,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541570439306104,1.3782939003032801,0.7550200803212851,baseline,data1518,150
107,43,4,4505.343143168924,2499.473803508208,2999.739057987351,9.262344437439715,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025166484422923,1.5019116850089438,0.5060240963855421,lya,data1518,150
60,90,0,4133.29133395129,2498.7434520589127,2998.8736379834986,9.537387820191165,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541479400558483,1.3782812592032374,0.7550200803212851,baseline,data1519,150
107,43,4,4505.343143168924,2499.4875556773486,2999.766562325623,9.537387820191165,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.8025067310039071,1.5018979142417255,0.5060240963855421,lya,data1519,150
60,90,0,4133.29133395129,2498.739955619216,2998.8666451041113,9.467459026276762,2498.2665826679035,249,188,150,0.4,10.033199127180335,1.6541502546738658,1.3782844731356152,0.7550200803212851,baseline,data1520,150
107,43,4,4505.343143168924,2499.4840592376527,2999.7595694462366,9.467459026276762,2499.010686286339,249,126,150,0.7133333333333334,10.03618749512586,1.802509252466712,1.5019014153859744,0.5060240963855421,lya,data1520,150
58,142,0,4298.023771802838,2499.1483110803297,2999.4197841257737,11.045270734468549,2498.596047543605,249,189,200,0.29,10.034522279291586,1.7197954009959866,1.4329517310480642,0.7590361445783133,baseline,data1751,200
108,92,4,3975.09312991671,2498.5024497965583,2998.6447505852457,11.045270734468549,2497.950186259833,249,123,200,0.54,10.031928458874832,1.5909902870979309,1.325629896352641,0.4939759036144578,lya,data1751,200
58,142,0,4298.023771802838,2499.1403468202607,2999.4038556056335,10.885985533062218,2498.596047543605,249,189,200,0.29,10.034522279291586,1.7198008816397035,1.4329593408270758,0.7590361445783133,baseline,data1752,200
108,92,4,3975.09312991671,2498.494485536487,2998.628822065104,10.885985533062218,2497.950186259833,249,123,200,0.54,10.031928458874832,1.5909953585761714,1.3256369380119317,0.4939759036144578,lya,data1752,200
58,142,0,4298.023771802838,2499.125255594066,2999.3736731532463,10.584161009217553,2498.596047543605,249,189,200,0.29,10.034522279291586,1.719811266835106,1.4329737605799278,0.7590361445783133,baseline,data1753,200
108,92,4,3975.09312991671,2498.479394310292,2998.5986396127205,10.584161009217553,2497.950186259833,249,123,200,0.54,10.031928458874832,1.5910049684496355,1.3256502812360733,0.4939759036144578,lya,data1753,200
58,142,0,4298.023771802838,2499.124429401964,2999.3720207690444,10.567637167205028,2498.596047543605,249,189,200,0.29,10.034522279291586,1.7198118353920249,1.4329745500195796,0.7590361445783133,baseline,data1754,200
108,92,4,3975.09312991671,2498.478568118194,2998.5969872285177,10.567637167205028,2497.950186259833,249,123,200,0.54,10.031928458874832,1.591005494560105,1.3256510117389027,0.4939759036144578,lya,data1754,200
58,142,0,4298.023771802838,2499.1160929673297,2999.3553478997724,10.400908474472068,2498.596047543605,249,189,200,0.29,10.034522279291586,1.7198175722599476,1.4329825156637168,0.7590361445783133,baseline,data1755,200
108,92,4,3975.09312991671,2498.4702316835574,2998.5803143592466,10.400908474472068,2497.950186259833,249,123,200,0.54,10.031928458874832,1.5910108031337848,1.3256583826957224,0.4939759036144578,lya,data1755,200
58,142,0,4298.023771802838,2499.1282784095365,2999.3797187841965,10.644617318694314,2498.596047543605,249,189,200,0.29,10.034522279291586,1.7198091866409242,1.4329708722392274,0.7590361445783133,baseline,data1756,200
