Time,Data_Collected_KB,Current_Node,Attempt_Count,Success_Flag,Skipped_Flag,Node_File,Strategy,Num_Nodes
1847.478992298894,3609.6536534652782,84,2,0,1,data1504,lya,150
1857.519970039668,3629.4500075957044,85,1,1,0,data1504,lya,150
1867.5757684061712,3655.2159198832624,86,1,1,0,data1504,lya,150
1877.6029497372454,3666.379182068822,87,1,1,0,data1504,lya,150
1897.6449058293522,3685.7407852524257,88,2,1,0,data1504,lya,150
1907.6800980577864,3701.6574952811175,89,1,1,0,data1504,lya,150
1917.7416878422778,3727.6065099472057,90,1,1,0,data1504,lya,150
1927.7649856372793,3738.56501852043,91,1,1,0,data1504,lya,150
1937.78888603358,3749.3664093095263,92,1,1,0,data1504,lya,150
1947.8139536811477,3761.3694460823062,93,1,1,0,data1504,lya,150
1997.825884194305,3766.3694460823062,94,5,1,0,data1504,lya,150
2057.85245841271,3777.573782774538,96,1,1,0,data1504,lya,150
2077.885163969076,3793.325751706919,97,2,1,0,data1504,lya,150
2087.919505080929,3810.034531585805,98,1,1,0,data1504,lya,150
2097.9696104083528,3834.415385781884,99,1,1,0,data1504,lya,150
2118.0103073720616,3854.1675049728146,100,2,1,0,data1504,lya,150
2128.0390759190186,3866.2829866945026,101,1,1,0,data1504,lya,150
2138.065359209751,3876.7909133377607,102,1,1,0,data1504,lya,150
2178.1026166401034,3894.250509195293,103,4,1,0,data1504,lya,150
2188.121353803409,3902.64934316019,104,1,1,0,data1504,lya,150
2198.1721952414887,3926.8066369894614,105,1,1,0,data1504,lya,150
2248.21658357174,3947.703837593068,106,5,1,0,data1504,lya,150
2258.894190320683,4285.685294099653,107,1,1,0,data1504,lya,150
2278.914642684643,4292.119621454199,108,2,1,0,data1504,lya,150
2288.9589083669803,4313.888983325026,109,1,1,0,data1504,lya,150
2298.9901416397206,4328.3162840987625,110,1,1,0,data1504,lya,150
2329.034937916496,4349.50536565863,111,3,1,0,data1504,lya,150
2379.0516080348075,4356.533227364658,112,5,1,0,data1504,lya,150
2389.0801168557805,4368.536352249889,113,1,1,0,data1504,lya,150
2399.114463827026,4383.5625707484805,114,1,1,0,data1504,lya,150
2429.147988274658,4398.7974737173045,115,3,1,0,data1504,lya,150
2439.178067376209,4411.547146359908,116,1,1,0,data1504,lya,150
2449.214806753466,4429.6613960216455,117,1,1,0,data1504,lya,150
2459.2384000787983,4439.323293874732,118,1,1,0,data1504,lya,150
2469.273020474073,4453.611396449626,119,1,1,0,data1504,lya,150
2479.3117705988225,4469.212874608185,120,1,1,0,data1504,lya,150
2489.3515162401277,4486.785068778479,121,1,1,0,data1504,lya,150
2499.392331165039,4505.343143168924,122,1,1,0,data1504,lya,150
10.03494231138567,16.404959338675162,0,1,1,0,data1505,baseline,150
41.15314338117847,574.2818306668798,1,3,1,0,data1505,baseline,150
51.18331359667093,588.2412194150935,2,1,1,0,data1505,baseline,150
101.92598224291038,957.9166077205078,3,5,1,0,data1505,baseline,150
121.95455769702949,969.9697839357868,4,2,1,0,data1505,baseline,150
131.9958677294158,989.217794420892,5,1,1,0,data1505,baseline,150
212.82911307771994,1403.7383526310769,6,8,1,0,data1505,baseline,150
222.85523774512507,1415.2738046547736,7,1,1,0,data1505,baseline,150
232.89983319974627,1434.7718040319398,8,1,1,0,data1505,baseline,150
342.9360230131484,1451.308301636323,9,11,1,0,data1505,baseline,150
452.9768827803938,1470.3726122305177,10,11,1,0,data1505,baseline,150
473.0157635408945,1488.5207564401358,11,2,1,0,data1505,baseline,150
563.0442114983778,1499.3757813855254,12,9,1,0,data1505,baseline,150
573.0750563203535,1511.5748761845407,13,1,1,0,data1505,baseline,150
603.1185043580978,1530.311344210157,14,3,1,0,data1505,baseline,150
633.1571108716944,1548.3631955373241,15,3,1,0,data1505,baseline,150
663.1880438762022,1563.2586875675033,16,3,1,0,data1505,baseline,150
833.2251271146756,1578.8453244840473,17,17,1,0,data1505,baseline,150
853.2705197010736,1600.2336489629895,18,2,1,0,data1505,baseline,150
883.2952605316315,1612.2757920188103,19,3,1,0,data1505,baseline,150
923.3350115075941,1630.0112789246605,20,4,1,0,data1505,baseline,150
933.3646211366748,1644.000315662491,21,1,1,0,data1505,baseline,150
943.3960492927367,1657.9119096463548,22,1,1,0,data1505,baseline,150
963.439657986392,1678.4057939062907,23,2,1,0,data1505,baseline,150
993.4810824192368,1697.5328756512308,24,3,1,0,data1505,baseline,150
1023.52276953886,1716.600423831234,25,3,1,0,data1505,baseline,150
1044.3454735559214,2126.4008636983954,26,2,1,0,data1505,baseline,150
1104.380131720355,2141.5058829065592,27,6,1,0,data1505,baseline,150
1164.4183790899838,2159.915647763034,28,6,1,0,data1505,baseline,150
1184.4471103736169,2173.3643139800665,29,2,1,0,data1505,baseline,150
1355.2990854110922,2598.6151921145656,30,17,1,0,data1505,baseline,150
1365.3285257732587,2612.964476842727,31,1,1,0,data1505,baseline,150
1446.2173199100564,3053.9997769060465,32,8,1,0,data1505,baseline,150
1456.2562828115422,3071.975562033231,33,1,1,0,data1505,baseline,150
1496.8720521214616,3379.149560011687,34,4,1,0,data1505,baseline,150
1516.9250638904814,3404.611496390114,35,2,1,0,data1505,baseline,150
1536.9487171109527,3414.5814094826155,36,2,1,0,data1505,baseline,150
1676.9710298023203,3423.510466418677,37,14,1,0,data1505,baseline,150
1707.0157780216139,3444.301020786177,38,3,1,0,data1505,baseline,150
1717.0552623249273,3463.2593342559917,39,1,1,0,data1505,baseline,150
1777.0942186237019,3481.3799333412526,40,6,1,0,data1505,baseline,150
1787.1321420166873,3499.521660887574,41,1,1,0,data1505,baseline,150
1797.1636693757375,3514.4604270233394,42,1,1,0,data1505,baseline,150
2017.2014055186219,3529.839449814308,44,2,1,0,data1505,baseline,150
2088.0131235667986,3933.9068553452003,45,7,1,0,data1505,baseline,150
2108.0535191997155,3953.7824540122892,46,2,1,0,data1505,baseline,150
2138.087479617462,3968.0471671047785,47,3,1,0,data1505,baseline,150
2148.114775117557,3978.9196811208158,48,1,1,0,data1505,baseline,150
2168.144345403141,3992.312751912551,49,2,1,0,data1505,baseline,150
2188.18197733826,4009.377409183929,50,2,1,0,data1505,baseline,150
2278.2090939273853,4021.558786419909,51,9,1,0,data1505,baseline,150
2308.234062989862,4032.447684442077,52,3,1,0,data1505,baseline,150
2318.2713943117406,4048.6661204995366,53,1,1,0,data1505,baseline,150
2328.3058850643565,4064.8909533550805,54,1,1,0,data1505,baseline,150
2358.3321750483424,4077.356237478225,55,3,1,0,data1505,baseline,150
2378.3609122697344,4090.001045950133,56,2,1,0,data1505,baseline,150
2418.396638402672,4106.161295636922,57,4,1,0,data1505,baseline,150
2468.418665032522,4113.920873929435,58,5,1,0,data1505,baseline,150
2478.4374154553107,4121.883555057552,59,1,1,0,data1505,baseline,150
2498.4635784181323,4133.29133395129,60,2,1,0,data1505,baseline,150
20.03494231138567,16.404959338675162,0,2,1,0,data1505,lya,150
31.153143381178467,574.2818306668798,1,1,1,0,data1505,lya,150
41.18331359667093,588.2412194150935,2,1,1,0,data1505,lya,150
101.21520692041864,600.2943956303725,4,1,1,0,data1505,lya,150
121.25651695280496,619.5424061154777,5,2,1,0,data1505,lya,150
142.08976230110912,1034.0629643256625,6,2,1,0,data1505,lya,150
152.11588696851425,1045.5984163493592,7,1,1,0,data1505,lya,150
162.16048242313545,1065.0964157265255,8,1,1,0,data1505,lya,150
202.1966722365375,1081.6329133309087,9,4,1,0,data1505,lya,150
262.23828414309526,1099.7810575405267,11,1,1,0,data1505,lya,150
282.2667321005785,1110.6360824859164,12,2,1,0,data1505,lya,150
292.2975769225542,1122.8351772849317,13,1,1,0,data1505,lya,150
302.3410249602985,1141.5716453105479,14,1,1,0,data1505,lya,150
312.3796314738951,1159.623496637715,15,1,1,0,data1505,lya,150
322.41056447840293,1174.5189886678943,16,1,1,0,data1505,lya,150
392.4618670294412,1195.9073131468365,18,2,1,0,data1505,lya,150
402.48660785999914,1207.9494562026573,19,1,1,0,data1505,lya,150
462.5204974912309,1221.9384929404878,21,1,1,0,data1505,lya,150
482.5519256472928,1235.8500869243517,22,2,1,0,data1505,lya,150
492.595534340948,1256.3439711842875,23,1,1,0,data1505,lya,150
502.63695877379274,1275.4710529292277,24,1,1,0,data1505,lya,150
522.6786458934159,1294.5386011092307,25,2,1,0,data1505,lya,150
582.7164071951768,1309.6436203173946,27,1,1,0,data1505,lya,150
632.7546545648055,1328.0533851738694,28,5,1,0,data1505,lya,150
652.7833858484385,1341.5020513909021,29,2,1,0,data1505,lya,150
712.8142994918112,1355.8513361190637,31,1,1,0,data1505,lya,150
782.8599859299683,1373.8271212462482,33,2,1,0,data1505,lya,150
813.4757552398877,1681.0011192247039,34,3,1,0,data1505,lya,150
833.5287670089075,1706.4630556031311,35,2,1,0,data1505,lya,150
863.5524202293788,1716.4329686956326,36,3,1,0,data1505,lya,150
883.5747329207466,1725.362025631694,37,2,1,0,data1505,lya,150
913.6194811400402,1746.1525799991944,38,3,1,0,data1505,lya,150
933.6589654433534,1765.110893469009,39,2,1,0,data1505,lya,150
993.6996039369429,1783.2526210153303,41,1,1,0,data1505,lya,150
1003.7311312959932,1798.1913871510958,42,1,1,0,data1505,lya,150
1063.7688674388776,1813.5704099420643,44,1,1,0,data1505,lya,150
1123.8128463089092,1833.446008609153,46,1,1,0,data1505,lya,150
1133.8468067266558,1847.7107217016423,47,1,1,0,data1505,lya,150
1143.8741022267511,1858.5832357176798,48,1,1,0,data1505,lya,150
1153.9036725123344,1871.9763065094148,49,1,1,0,data1505,lya,150
1203.9413044474531,1889.040963780793,50,5,1,0,data1505,lya,150
1213.9684210365788,1901.222341016773,51,1,1,0,data1505,lya,150
1223.993390099056,1912.111239038941,52,1,1,0,data1505,lya,150
