Time,Data_Collected_KB,Current_Node,Attempt_Count,Success_Flag,Skipped_Flag,LYA_V,Node_File,Num_Nodes
291.7202622762242,839.6451768901788,13,1,1,0,1.0,data1504,150
341.73575215277384,844.6451768901788,14,5,1,0,1.0,data1504,150
351.77142265540533,860.5188567897893,15,1,1,0,1.0,data1504,150
411.8236060227646,883.7235632028887,17,1,1,0,1.0,data1504,150
421.8463697542271,894.3912224680289,18,1,1,0,1.0,data1504,150
452.8056967391645,1372.9298082703156,19,3,1,0,1.0,data1504,150
462.84081083633157,1389.4982444411864,20,1,1,0,1.0,data1504,150
532.8490734609125,1389.4982444411864,22,2,0,1,1.0,data1504,150
552.8841845774082,1405.7988766900016,23,2,1,0,1.0,data1504,150
562.9316756304767,1427.6920685121306,24,1,1,0,1.0,data1504,150
572.9651742580754,1442.944398442771,25,1,1,0,1.0,data1504,150
592.9772860360497,1447.944398442771,26,2,1,0,1.0,data1504,150
653.0288542211466,1470.0491092006666,28,1,1,0,1.0,data1504,150
673.0297506679688,1470.0491092006666,29,2,0,1,1.0,data1504,150
693.0336331657708,1470.0491092006666,30,2,0,1,1.0,data1504,150
703.078609857546,1489.6419947164395,31,1,1,0,1.0,data1504,150
713.1078737172168,1502.676820027626,32,1,1,0,1.0,data1504,150
723.13667864239,1516.2081042879886,33,1,1,0,1.0,data1504,150
733.158481314659,1525.8751154930817,34,1,1,0,1.0,data1504,150
753.1590082751509,1525.8751154930817,35,2,0,1,1.0,data1504,150
773.1611758905595,1525.8751154930817,36,2,0,1,1.0,data1504,150
793.2085708312522,1548.2563773747427,37,2,1,0,1.0,data1504,150
813.2425675866764,1564.0496847729985,38,2,1,0,1.0,data1504,150
833.244011198281,1564.0496847729985,39,2,0,1,1.0,data1504,150
853.2447238599714,1564.0496847729985,40,2,0,1,1.0,data1504,150
873.2473838341253,1564.0496847729985,41,2,0,1,1.0,data1504,150
893.251197999922,1564.0496847729985,42,2,0,1,1.0,data1504,150
913.2537452955232,1564.0496847729985,43,2,0,1,1.0,data1504,150
933.2571756160976,1564.0496847729985,44,2,0,1,1.0,data1504,150
953.293774187601,1581.2096891667973,45,2,1,0,1.0,data1504,150
973.3342572135293,1599.6813318920952,46,2,1,0,1.0,data1504,150
983.3629249377992,1611.6928380927056,47,1,1,0,1.0,data1504,150
993.3968351576085,1627.754399094066,48,1,1,0,1.0,data1504,150
1013.4131320763187,1634.3717319194525,49,2,1,0,1.0,data1504,150
1023.4527626008779,1653.2645808816421,50,1,1,0,1.0,data1504,150
1043.4582006718192,1653.2645808816421,51,2,0,1,1.0,data1504,150
1053.5043068947502,1675.0097440716809,52,1,1,0,1.0,data1504,150
1073.5304596608523,1687.9242226968004,53,2,1,0,1.0,data1504,150
1093.5332613387893,1687.9242226968004,54,2,0,1,1.0,data1504,150
1103.56494914067,1703.0416310734547,55,1,1,0,1.0,data1504,150
1123.5956815039558,1716.377666365301,56,2,1,0,1.0,data1504,150
1143.5995743612984,1716.377666365301,57,2,0,1,1.0,data1504,150
1153.6462426016108,1736.7926603765177,58,1,1,0,1.0,data1504,150
